method,samples,EM,F1,retrieval_hit_rate,code_success_rate,numeric_accuracy
ours,500,0.606,0.6068791208791209,0.36,0.9977827050997783,0.6142857142857143
standard_rag_python,500,0.538,0.5385714285714286,0.368,0.9955654101995566,0.5489795918367347
ours_no_fusion,500,0.602,0.6025714285714285,0.364,1.0,0.6122448979591837
ours_no_python,500,0.384,0.38487912087912085,0.36,,0.38571428571428573
ours_no_routing,500,0.614,0.614,0.36,0.998,0.6244897959183674
